,Northwest,Northwest,Northwest,Northwest,North Center,North Center,North Center,North Center,South Center,South Center,South Center,South Center,Southeast,Southeast,Southeast,Southeast,Grace,Grace,Grace,Grace
,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,shallow,shallow,deep,deep
,Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%)
85,5.997910762999999,5.78,7.816278046,3.98,7.379042301,8.28,8.550667128999999,7.36,2.691534804,19.72,2.177709772,16.23,2.511886432,18.87,2.3014418169999997,12.7,32.500229817655104,16.61,20.018974068079,17.53
86,6.382634862000001,5.33,8.14704284,3.71,8.035261222,7.67,8.87156012,7.14,2.844461107,19.17,2.2646443080000003,15.69,2.7605778560000003,18.43,2.529297996,12.06,57.6206105807466,15.92,33.829688276344,16.79
87,6.792036326,4.9,8.49180475,3.46,8.649679188,7.17,9.183325965,6.95,3.006076303,18.68,2.355049284,15.16,3.111716337,17.97,2.857590543,11.38,129.33508028319,15.25,72.0427932532012,16.05
88,7.261059574,4.48,8.851156097999999,3.24,9.225714272000001,6.79,9.484184633,6.75,3.184197522,18.28,2.449063242,14.65,3.60578643,17.46,3.3265955330000003,10.67,403.446943857515,14.57,212.12679631561002,15.32
89,7.78036551,4.1,9.204495717999999,3.05,9.81747943,6.46,9.794899854,6.54,3.396252726,17.91,2.546830253,14.15,4.345102242,16.92,3.9994474980000003,9.98,2213.6157796981897,9.92,,
90,8.317637711,3.76,9.594006315,2.87,10.39920166,6.17,10.13911386,6.39,3.741105883,17.41,2.66072506,13.65,5.321082593,16.42,4.920395357,9.32,,,,
91,8.87156012,3.44,10.0,2.71,10.96478196,5.91,10.51961874,6.21,4.570881896,16.69,2.81190083,13.11,6.531305526000001,16.0,6.237348355,8.68,,,,
92,9.418895965,3.16,10.47128548,2.54,11.58777356,5.67,10.96478196,6.03,6.412095766,15.86,3.0549211130000002,12.5,8.090958992000001,15.55,8.184647881,8.04,,,,
93,10.046157899999999,2.89,11.0407862,2.35,12.33104833,5.46,11.45512941,5.92,9.638290236,15.12,3.491403155,11.85,10.49542429,14.98,11.0407862,7.41,,,,
94,10.73989412,2.64,11.77605974,2.18,13.24341535,5.25,12.0503594,5.84,14.588142600000001,14.44,4.295364268,11.22,14.02813705,14.31,15.17050367,6.78,,,,
95,11.58777356,2.42,12.79381304,2.02,14.32187899,5.06,12.79381304,5.7,21.62718524,13.82,5.741164622,10.61,18.62087137,13.63,20.32357011,6.22,,,,
96,12.73503081,2.22,14.28893959,1.87,15.84893192,4.88,13.96368361,5.56,31.18889584,13.28,8.279421637,9.98,24.37810818,12.96,27.47894153,5.69,,,,
97,14.85935642,2.04,16.90440932,1.73,18.53531623,4.71,16.6341265,5.41,42.85485204,12.84,12.53141175,9.31,31.69567463,12.31,38.63669771,5.11,,,,
98,26.36331386,1.86,28.6417797,1.61,33.96252726,4.53,27.92543841,5.26,58.21032178,12.46,19.36421964,8.62,40.3645393,11.68,56.36376558,4.49,,,,
99,74.98942093,1.54,106.9054879,0.91,106.41430179999999,4.05,102.32929920000001,4.42,476.43098679999997,9.25,504.66129759999995,3.85,436.5158322,6.3,533.3348955,0.73,,,,
